feature,mutual_information,rf_importance,l1_abs_coef,mi_norm,rf_norm,l1_norm,consensus_score,selected_by_l1
sensor_4_lag_3,0.23601063310197157,0.0005671513662538764,0.7218225192070825,0.6455815203635927,0.006406301377542205,0.015701922972834792,0.2225632482379899,True
sensor_12,0.23809570353339526,0.0008088344550042199,0.0,0.6512850046578876,0.009136251081475229,0.0,0.2201404185797876,False
sensor_17_min_5,0.2292440629433401,0.00041560638304558104,1.0207641603301651,0.6270723007015752,0.004694513497880587,0.022204849242638276,0.21799055448069804,True
sensor_12_lag_1,0.23165619545193183,0.0007076155325378406,0.0,0.6336704278780837,0.007992925047170236,0.0,0.21388778430841796,False
sensor_7,0.2259085149989819,0.0006848590607664266,0.0,0.6179482706319892,0.007735877590121616,0.0,0.2085613827407036,False
sensor_17_min_10,0.2268757087366129,0.0002464242492537723,0.0,0.6205939243274148,0.002783503842865785,0.0,0.20779247605676018,False
cycle,0.1606791069746405,0.003623430227490046,5.736121176297602,0.4395202911325364,0.040928731620839834,0.12477877937641892,0.2017426007099317,True
sensor_17_lag_1,0.18988793859709086,0.00026259471450418563,3.5665204551447256,0.5194178859104733,0.002966158562528136,0.07758310107758784,0.19998904851686308,True
sensor_21,0.2109933984590251,0.0006554269261198446,0.0,0.5771495850570677,0.0074034246755217345,0.0,0.19485100324419646,False
sensor_21_lag_1,0.20744536989487394,0.0004556200528226744,0.0,0.5674443372695729,0.0051464909470520055,0.0,0.19086360940554162,False
sensor_20,0.2018373588074247,0.00036582990159015824,0.0,0.5521042304427457,0.004132259467138578,0.0,0.18541216330329477,False
sensor_15_lag_3,0.20007509835349802,0.0005587843983337556,0.0,0.5472837578726345,0.006311791655267239,0.0,0.1845318498426339,False
sensor_17_min_20,0.20050199431620297,0.0003730989587683834,0.0,0.5484514855339602,0.0042143676551552696,0.0,0.18422195106303849,False
sensor_20_lag_3,0.19161547376354093,0.0004797164183149739,0.9555760453204525,0.5241433712184025,0.005418673275495834,0.020786801546161308,0.18344961534668655,True
sensor_21_lag_3,0.19674050698621515,0.00048389005143570943,0.0,0.5381623444160143,0.005465816865728772,0.0,0.18120938709391435,False
cycle_log1p,0.15900592167046312,0.003672647941704231,2.9724208778788186,0.4349434739852592,0.041484674053725856,0.06465955608945101,0.18036256804281203,True
sensor_2_lag_1,0.1922194636004022,0.0005798943961690415,0.0,0.5257955199883123,0.006550241240790354,0.0,0.17744858707636757,False
sensor_17,0.1913874236483446,0.0001808693785462417,0.0,0.5235195648324252,0.0020430238167094797,0.0,0.1751875295497116,False
sensor_2_dev_mean_10,0.005261042033701369,0.0006132490947222764,23.141523037217166,0.014391010566656221,0.00692700177422693,0.5034013244746389,0.17490644560517402,True
sensor_3_lag_1,0.17427711349564623,0.0006612127280574383,1.2499780964844505,0.4767161649301038,0.007468778641197277,0.027190977375282914,0.17045864031552801,True
sensor_3,0.17891330230320146,0.0005599950894930366,0.0,0.48939795718554424,0.006325467109304685,0.0,0.1652411414316163,False
sensor_2_dev_mean_20,0.009997985264891929,0.0008477272130050179,21.072544347956953,0.02734840563345707,0.009575567186455563,0.4583944936446902,0.16510615548820096,True
cycle_sqrt,0.1611620952983206,0.0036325776214425134,0.0,0.4408414533709536,0.041032056704698276,0.0,0.16062450335855064,False
sensor_17_lag_3,0.17284293231927816,0.0002188711155983257,0.0,0.47279311768368376,0.0024722753268200726,0.0,0.15842179767016795,False
sensor_3_lag_3,0.16277445437703375,0.000525198610925018,0.1897441808083144,0.4452518869676379,0.005932420840093848,0.004127536108001433,0.15177061463857772,True
sensor_9,0.11787769884680954,0.008324158155541439,0.020595261881172333,0.3224416757765534,0.0940261613243708,0.00044801209031101606,0.13897194973041174,True
sensor_11_dev_mean_20,0.04080320480378208,0.0014418699511423757,11.896418879469298,0.11161274662379876,0.016286751657237992,0.25878473991529033,0.12889474606544235,True
sensor_7_dev_mean_20,0.024807317422590458,0.0009669299346351269,14.130478392558622,0.06785772949008882,0.010922030591506962,0.30738260082685,0.12872078696948194,True
sensor_16,0.0034056816128278378,6.12900395904883e-05,17.057921613022863,0.009315873122266376,0.0006923063020223796,0.3710637505997482,0.127023976674679,True
sensor_12_dev_mean_5,0.003435932306137035,0.0005097359574752466,14.937117914496504,0.00939862061682594,0.00575776126243996,0.3249295618917752,0.11336198125701369,True
sensor_2_dev_mean_5,0.004583141510614341,0.0006162696315349006,14.458600872591319,0.012536687121149808,0.006961120477442694,0.3145203026441728,0.11133937008092176,True
sensor_5,0.0,8.548615813083358e-06,13.787172124896045,0.0,9.656153986045463e-05,0.2999146036010905,0.10000372171365031,True
sensor_19,0.0012823767674070563,3.6528717328051545e-05,11.532062035501996,0.0035078027303282583,0.000412612903825385,0.2508588260703131,0.08492641390148892,True
sensor_6,0.0022415943227298563,7.509598357154158e-05,11.026067497797435,0.006131638443091188,0.0008482523919141938,0.23985184437564416,0.08227724507021651,True
sensor_4_dev_mean_20,0.0297821964491225,0.0012454273087798388,6.84166931958563,0.08146597215001107,0.014067818855069945,0.14882794842664215,0.08145391314390772,True
sensor_2_diff_1,0.0,0.0005066967506191842,10.497374902558585,0.0,0.005723431670329071,0.22835110813390475,0.07802484660141128,True
sensor_17_dev_mean_20,0.025563311038795833,0.0008239447149452257,6.5265774237150875,0.06992566813217604,0.009306930171458687,0.14197370303158494,0.07373543377840656,True
sensor_20_dev_mean_10,0.004847007689151583,0.0006250092356262872,7.372517943043656,0.013258464468524675,0.007059839339921395,0.16037558510183153,0.060231296303425864,True
sensor_7_diff_1,0.0,0.0004989667568491605,8.005151305157828,0.0,0.005636116937995114,0.17413736179573988,0.059924492911245,True
sensor_12_dev_mean_20,0.03038831450656021,0.0009248476281019074,3.838723922029169,0.08312394243676251,0.01044668669858008,0.08350438748280169,0.05902500553938143,True
sensor_15_dev_mean_5,0.0,0.0006096254745341849,7.037830720678052,0.0,0.006886070896891673,0.15309507937398367,0.05332705009029178,True
sensor_1,0.0017406399123096605,4.377753352160592e-05,7.014514291149061,0.00476133192062114,0.0004944924582608236,0.15258787328007029,0.05261456588631742,True
sensor_11_dev_mean_10,0.008811633364589344,0.000710791749616643,4.673450441760767,0.024103268524940994,0.008028802248668851,0.10166232959107198,0.04459813345489394,True
sensor_12_dev_mean_10,0.012849838299174632,0.0007594794965623244,3.5869147583081378,0.03514934067408416,0.008578758395980544,0.0780267416801397,0.0405849469167348,True
sensor_21_dev_mean_20,0.019835140256923456,0.0007212397508705345,2.0121852278518997,0.05425687747787655,0.008146818441184565,0.04377139340223641,0.0353916964404325,True
sensor_7_dev_mean_10,0.007680422068272907,0.0007256880715808203,3.1816598159292377,0.02100896256537474,0.008197064785969524,0.06921116483088302,0.03280573072740909,True
sensor_15_dev_mean_20,0.01684244898891807,0.0008926256206665285,1.9253305633428086,0.04607069470558168,0.010082720563782758,0.04188202972118741,0.032678481663517285,True
sensor_11_std_5,0.0018536057853528742,0.0008018175205581925,3.8256223588707363,0.005070337828998702,0.009056990764948748,0.08321938704285502,0.03244890521226749,True
sensor_21_diff_1,0.0030010254557679694,0.00043142296309640313,3.8607011026982203,0.008208980040096105,0.004873170880365373,0.08398246067786437,0.03235487053277528,True
sensor_17_std_10,0.01690289964360403,0.0013939117104965408,0.0,0.046236050922995306,0.01574503570379994,0.0,0.02066036220893175,False
sensor_18,0.001649367267005708,4.6952985721214654e-06,2.578492038158914,0.004511665486747062,5.30361020008353e-05,0.0560903577983603,0.020218353129036064,True
sensor_4_diff_1,0.0,0.00044871368623304885,1.8529659349442043,0.0,0.0050684795581538876,0.04030787015863888,0.015125449905597589,True
sensor_4_dev_mean_10,0.012276509961156368,0.0006876824897049824,0.0,0.03358106311277003,0.007767769846359901,0.0,0.013782944319709977,False
